function,count,file,line,type,snippet
cmsP6PublicDoc_,1,Code_P6_FirestoreBridge.gs.txt,226,function,function cmsP6PublicDoc_(doc) {
cmsP6StageOwner_,1,Code_P6_FirestoreBridge.gs.txt,310,function,function cmsP6StageOwner_(stage) {
collectPerms,1,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,87,function,function collectPerms(){var p={};document.querySelectorAll('.p65-perm').forEach(function(s){p[s.getAttribute('data-module')]=s.value});return p}
debugCmsP6_1Workspace,1,Code_P6_1_FirestoreFastIntegration.gs,250,function,function debugCmsP6_1Workspace(complaintNo) {
debugCmsP6_2List,1,Code_P6_2_FirestoreStageCapaActions.gs,577,function,function debugCmsP6_2List() {
debugCmsP6_2Workspace,1,Code_P6_2_FirestoreStageCapaActions.gs,571,function,function debugCmsP6_2Workspace(complaintNo) {
debugCmsP6_4List,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,377,function,function debugCmsP6_4List() {
debugCmsP6_4Workspace,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,383,function,function debugCmsP6_4Workspace(complaintNo) {
debugCmsP6_5Access,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,216,function,function debugCmsP6_5Access() {
debugCmsP7_0Dashboard,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,425,function,function debugCmsP7_0Dashboard() { return getCmsDashboardPayloadP7('ALL'); }
debugCmsP7_0List,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,426,function,"function debugCmsP7_0List() { return getCmsTrackingDataP7('ALL', ''); }"
debugCmsP7_0Workspace,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,427,function,function debugCmsP7_0Workspace(complaintNo) { return getCmsWorkspaceDataP7(complaintNo); }
debugP6FirestoreConfig,2,Code_P6_FirestoreBridge.gs.txt,459,function,function debugP6FirestoreConfig() {
debugP6FirestoreConfig,2,Code_P6_1_FirestoreFastIntegration.gs,256,function,function debugP6FirestoreConfig() {
defaultPermissionsForRole_,1,Code.gs,48,function,function defaultPermissionsForRole_(role) {
doGet,1,Code.gs,282,function,function doGet(e) {
ensureLifecycleMetaColumns_,1,Code.gs,1649,function,function ensureLifecycleMetaColumns_(sheet) {
ensureModal,1,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,21,function,function ensureModal(){
ensureNotifyModal,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,31,function,function ensureNotifyModal(){
ensureWhatsappLogSheet_,1,Code.gs,1109,function,function ensureWhatsappLogSheet_() {
esc,3,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,28,function,"function esc(v){return String(v == null ? '' : v).replace(/[&<>""']/g,function(c){return {'&':'&amp;','<':'&lt;','>':'&gt;','""':'&quot;',""'"":'&#39;'}[c];});}"
esc,3,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,13,function,"function esc(v){return String(v==null?'':v).replace(/[&<>""']/g,function(c){return {'&':'&amp;','<':'&lt;','>':'&gt;','""':'&quot;',""'"":'&#39;'}[c]})}"
esc,3,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,13,function,"function esc(v){return String(v==null?'':v).replace(/[&<>""']/g,function(c){return {'&':'&amp;','<':'&lt;','>':'&gt;','""':'&quot;',""'"":'&#39;'}[c]})}"
escapeHtml_,1,Code.gs,428,function,function escapeHtml_(v) {
escapeJsP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,406,function,"function escapeJsP7(v){ return String(v || '').replace(/\\/g,'\\\\').replace(/'/g,""\\'""); }"
executeCmsLifecycleAction,3,Code.gs,1742,function,"function executeCmsLifecycleAction(complaintNo, actionCode, remark) {"
executeCmsLifecycleAction,3,Code_P6_2_FirestoreStageCapaActions.gs,196,function,"function executeCmsLifecycleAction(complaintNo, actionCode, remark) {"
executeCmsLifecycleAction,3,Code_P6_2_FirestoreStageCapaActions.gs,583,function,function executeCmsLifecycleAction(payload) {
executeCmsLifecycleActionP7,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,157,function,function executeCmsLifecycleActionP7(payload) {
extractDistinctProductNames_,1,Code.gs,516,function,function extractDistinctProductNames_(records) {
