function,count,file,line,type,snippet
p65AuditAccessChange_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,445,function,"function p65AuditAccessChange_(action, email, user) {"
p65CurrentEmail_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,260,function,function p65CurrentEmail_() {
p65DefaultPermissionsForRole_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,347,function,function p65DefaultPermissionsForRole_(role) {
p65EnsureAccessSheet_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,221,function,function p65EnsureAccessSheet_() {
p65GetUserByEmail_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,298,function,function p65GetUserByEmail_(email) {
p65Index_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,405,function,function p65Index_(headers) {
p65IsAdmin_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,400,function,function p65IsAdmin_(user) {
p65MirrorUserToFirestore_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,418,function,function p65MirrorUserToFirestore_(user) {
p65NormalizeLevel_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,389,function,function p65NormalizeLevel_(value) {
p65ReadAccessUsers_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,269,function,function p65ReadAccessUsers_() {
p65RequireUserManagement_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,338,function,function p65RequireUserManagement_(level) {
p65SafeDocId_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,414,function,function p65SafeDocId_(email) {
p65SaveAccessUserToSheet_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,303,function,function p65SaveAccessUserToSheet_(payload) {
p65SeedAdminIfEmpty_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,243,function,function p65SeedAdminIfEmpty_() {
p65SyncUsersToFirestore_,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,435,function,function p65SyncUsersToFirestore_() {
p6FirestoreToken_,1,Code_P6_FirestoreBridge.gs.txt,372,function,function p6FirestoreToken_() {
p6FromFsFields_,1,Code_P6_FirestoreBridge.gs.txt,427,function,function p6FromFsFields_(fields) {
p6FromFsValue_,1,Code_P6_FirestoreBridge.gs.txt,432,function,function p6FromFsValue_(v) {
p6FsBase_,1,Code_P6_FirestoreBridge.gs.txt,329,function,function p6FsBase_() {
p6FsFetch_,1,Code_P6_FirestoreBridge.gs.txt,355,function,"function p6FsFetch_(url, method, payload) {"
p6FsGetDoc_,1,Code_P6_FirestoreBridge.gs.txt,342,function,function p6FsGetDoc_(docPath) {
p6FsListCollection_,1,Code_P6_FirestoreBridge.gs.txt,348,function,"function p6FsListCollection_(collectionPath, pageSize) {"
p6FsPatchDoc_,1,Code_P6_FirestoreBridge.gs.txt,337,function,"function p6FsPatchDoc_(docPath, obj) {"
p6SaveCapaVersion,1,Code_P6_FirestoreBridge.gs.txt,196,function,"function p6SaveCapaVersion(complaintNo, payload) {"
p6SaveInfoRequest,1,Code_P6_FirestoreBridge.gs.txt,174,function,"function p6SaveInfoRequest(complaintNo, payload) {"
p6StageUpdate,1,Code_P6_FirestoreBridge.gs.txt,141,function,"function p6StageUpdate(complaintNo, newStage, remark) {"
p6ToFsFields_,1,Code_P6_FirestoreBridge.gs.txt,413,function,function p6ToFsFields_(obj) {
p6ToFsValue_,1,Code_P6_FirestoreBridge.gs.txt,418,function,function p6ToFsValue_(v) {
p6UpsertComplaintDoc_,1,Code_P6_FirestoreBridge.gs.txt,133,function,function p6UpsertComplaintDoc_(doc) {
p6_1BuildPublicTrackingUrl_,1,Code_P6_1_FirestoreFastIntegration.gs,113,function,function p6_1BuildPublicTrackingUrl_(complaintNo) {
p6_1ClearWorkspaceCache_,1,Code_P6_1_FirestoreFastIntegration.gs,173,function,function p6_1ClearWorkspaceCache_(complaintNo) {
p6_1NormalizeWorkspacePayload_,1,Code_P6_1_FirestoreFastIntegration.gs,84,function,function p6_1NormalizeWorkspacePayload_(data) {
p6_1ResolveStageAction_,1,Code_P6_1_FirestoreFastIntegration.gs,158,function,"function p6_1ResolveStageAction_(oldStage, actionCode) {"
p6_2AgeDays_,1,Code_P6_2_FirestoreStageCapaActions.gs,544,function,function p6_2AgeDays_(dateValue) {
p6_2BuildPublicTrackingUrl_,1,Code_P6_2_FirestoreStageCapaActions.gs,534,function,function p6_2BuildPublicTrackingUrl_(complaintNo) {
p6_2ClearCaches_,1,Code_P6_2_FirestoreStageCapaActions.gs,528,function,function p6_2ClearCaches_(complaintNo) {
p6_2DateInFy_,1,Code_P6_2_FirestoreStageCapaActions.gs,552,function,"function p6_2DateInFy_(dateValue, fyLabel) {"
p6_2ExtFromMime_,1,Code_P6_2_FirestoreStageCapaActions.gs,502,function,function p6_2ExtFromMime_(mime) {
p6_2FormatDateTime_,1,Code_P6_2_FirestoreStageCapaActions.gs,564,function,function p6_2FormatDateTime_(v) {
p6_2GetCapaState_,1,Code_P6_2_FirestoreStageCapaActions.gs,325,function,"function p6_2GetCapaState_(complaintNo, stage, doc) {"
p6_2GetInfoRequestById_,1,Code_P6_2_FirestoreStageCapaActions.gs,437,function,function p6_2GetInfoRequestById_(requestId) {
p6_2GetInfoState_,1,Code_P6_2_FirestoreStageCapaActions.gs,415,function,"function p6_2GetInfoState_(complaintNo, stage) {"
p6_2GetStageActions_,1,Code_P6_2_FirestoreStageCapaActions.gs,178,function,"function p6_2GetStageActions_(stage, doc, info, capa) {"
p6_2GetTimeline_,1,Code_P6_2_FirestoreStageCapaActions.gs,456,function,function p6_2GetTimeline_(complaintNo) {
p6_2GetUploadFolder_,1,Code_P6_2_FirestoreStageCapaActions.gs,491,function,function p6_2GetUploadFolder_() {
p6_2NormalizeComplaintListRow_,1,Code_P6_2_FirestoreStageCapaActions.gs,89,function,function p6_2NormalizeComplaintListRow_(d) {
p6_2SafeSheetStageBackup_,1,Code_P6_2_FirestoreStageCapaActions.gs,515,function,"function p6_2SafeSheetStageBackup_(complaintNo, newStage, remark) {"
p6_2SaveDataUrlToDrive_,1,Code_P6_2_FirestoreStageCapaActions.gs,476,function,"function p6_2SaveDataUrlToDrive_(dataUrl, complaintNo, prefix) {"
p6_2TimelineToLog_,1,Code_P6_2_FirestoreStageCapaActions.gs,462,function,function p6_2TimelineToLog_(t) {
p6_3BuildInfoChat_,1,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,236,function,"function p6_3BuildInfoChat_(complaintNo, info) {"
p6_3BuildRoleActions_,1,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,79,function,"function p6_3BuildRoleActions_(stage, doc, info, capa, access) {"
p6_3IsAdmin_,1,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,258,function,function p6_3IsAdmin_(u) {
p7ActionToStage_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,665,function,function p7ActionToStage_(actionCode) {
p7AgeDays_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,706,function,function p7AgeDays_(dateValue) {
p7ApplyFyFilter_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,634,function,"function p7ApplyFyFilter_(rows, fy) {"
p7BuildCards_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,600,function,function p7BuildCards_(rows) {
p7BuildFyOptions_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,621,function,function p7BuildFyOptions_(rows) {
p7BuildPublicTrackingUrl_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,777,function,function p7BuildPublicTrackingUrl_(complaintNo) {
p7BuildStageActions_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,649,function,function p7BuildStageActions_(row) {
p7BuildSummary_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,609,function,"function p7BuildSummary_(rows, key, preferredOrder) {"
p7DateNumber_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,711,function,function p7DateNumber_(v) { var d = new Date(v); return isNaN(d.getTime()) ? 0 : d.getTime(); }
p7DisplayDate_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,712,function,"function p7DisplayDate_(v) { var d = new Date(v); return isNaN(d.getTime()) ? String(v || '') : Utilities.formatDate(d, Session.getScriptTimeZone(), 'dd-MMM-yyy"
p7EnsureSheet_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,820,function,"function p7EnsureSheet_(name, headers) {"
p7Error_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,442,function,"function p7Error_(err, context) {"
p7FindActiveInfoRequest_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,748,function,function p7FindActiveInfoRequest_(reqs) {
p7First_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,714,function,"function p7First_(obj, keys) {"
p7FormatIsoMaybe_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,713,function,function p7FormatIsoMaybe_(v) { var d = new Date(v); return isNaN(d.getTime()) ? String(v || '') : d.toISOString(); }
p7FyFromDate_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,639,function,function p7FyFromDate_(value) {
p7GetCapaVersions_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,755,function,"function p7GetCapaVersions_(complaintNo, row) {"
p7GetComplaintDocFromFirestore_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,572,function,function p7GetComplaintDocFromFirestore_(complaintNo) {
p7GetComplaintDocFromSheet_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,577,function,function p7GetComplaintDocFromSheet_(complaintNo) {
p7GetComplaintRows_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,463,function,function p7GetComplaintRows_() {
p7GetComplaintSheet_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,586,function,function p7GetComplaintSheet_() {
p7GetDoc_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,726,function,function p7GetDoc_(path) {
p7GetInfoRequests_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,734,function,"function p7GetInfoRequests_(complaintNo, row) {"
p7GetOrCreateFolder_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,799,function,function p7GetOrCreateFolder_(name) {
p7GetTimeline_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,761,function,"function p7GetTimeline_(complaintNo, row) {"
p7GetUserSummary_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,810,function,function p7GetUserSummary_() {
p7IsClosed_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,705,function,function p7IsClosed_(stage) { return String(stage || '').toLowerCase().indexOf('closed') >= 0; }
p7ListCollection_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,730,function,"function p7ListCollection_(path, limit) {"
p7Log_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,826,function,"function p7Log_(context, status, message, payload) {"
p7MergeComplaint_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,547,function,"function p7MergeComplaint_(primary, fallback) {"
p7NextCapaVersion_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,783,function,function p7NextCapaVersion_(complaintNo) {
p7NormalizeComplaint_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,502,function,function p7NormalizeComplaint_(r) {
p7Ok_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,431,function,"function p7Ok_(data, message, meta) {"
p7PatchComplaintStage_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,679,function,"function p7PatchComplaintStage_(complaintNo, stage, remark, extra) {"
p7PatchDoc_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,722,function,"function p7PatchDoc_(path, obj) {"
p7PatchPublicTracking_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,769,function,"function p7PatchPublicTracking_(complaintNo, patch) {"
p7ReadComplaintsFromSheet_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,560,function,function p7ReadComplaintsFromSheet_() {
p7SaveDataUrlFile_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,789,function,"function p7SaveDataUrlFile_(dataUrl, fileName, folderName) {"
p7StageOwner_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,697,function,function p7StageOwner_(stage) {
p7Unwrap_,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,456,function,function p7Unwrap_(res) {
parseBatchNoV3_,1,Code.gs,626,function,function parseBatchNoV3_(batchNo) {
parseCmsGoogleAddressComponents_,1,Code.gs,2742,function,function parseCmsGoogleAddressComponents_(components) {
pickProductNameFromRow_,1,Code.gs,534,function,function pickProductNameFromRow_(row) {
q,2,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,12,function,function q(id){return document.getElementById(id)}
q,2,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,12,function,function q(id){return document.getElementById(id)}
qs,1,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,30,function,function qs(id){return document.getElementById(id);}
raiseCmsInfoRequest,2,Code.gs,2170,function,"function raiseCmsInfoRequest(complaintNo, question, attachmentDataUrl) {"
raiseCmsInfoRequest,2,Code_P6_2_FirestoreStageCapaActions.gs,340,function,"function raiseCmsInfoRequest(complaintNo, question, fileDataUrl) {"
raiseCmsInfoRequestP6_3,1,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,174,function,function raiseCmsInfoRequestP6_3(payload) {
raiseCmsInfoRequestP6_4,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,132,function,function raiseCmsInfoRequestP6_4(payload) {
raiseCmsInfoRequestP7,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,194,function,function raiseCmsInfoRequestP7(payload) {
renderActions,2,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,131,function,"function renderActions(actions,no){"
renderActions,2,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,55,function,"function renderActions(actions,no){var html='<div class=""p64-action-note""><textarea id=""p64StageRemark"" placeholder=""Remark / reference, optional for normal act"
renderCapa,2,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,192,function,"function renderCapa(capa,no,res){"
renderCapa,2,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,63,function,"function renderCapa(capa,no,res){var latest=(capa&&capa.latest)||{}; var html=latest.documentUrl?'<div class=""p64-form""><b>Latest CAPA Version '+esc(latest.vers"
renderCapaPanelP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,357,function,"function renderCapaPanelP7(capa, no){"
renderCase,2,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,96,function,"function renderCase(c,res){"
renderCase,2,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,53,function,"function renderCase(res,c,no){var l=res.quickLinks||{}; set('detailBody','<div class=""p64-case""><div class=""p64-case-top""><div><div class=""detail-kicker"">Compla"
renderChat,2,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,234,function,"function renderChat(chat,info,no){"
renderChat,2,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,62,function,"function renderChat(chat){if(!chat||!chat.length){set('workspaceChatPanel','<div class=""chat-empty"">No request conversation yet.</div>');return;} set('workspace"
renderComplaintTableP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,156,function,function renderComplaintTableP7(rows){
renderDashboardP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,121,function,function renderDashboardP7(data){
renderFyDropdownsP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,134,function,"function renderFyDropdownsP7(options, selected){"
renderHeroP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,218,function,"function renderHeroP7(info, links){"
renderInfo,2,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,138,function,"function renderInfo(info,no){"
renderInfo,2,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,58,function,"function renderInfo(info,no){var reqs=info.requests||[], active=info.activeRequest||info.active||null, p=info.permissions||{}; text('infoRequestCounter',(reqs.l"
renderInfoActionP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,317,function,"function renderInfoActionP7(active, usedCount, no){"
renderList,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,42,function,"function renderList(rows){var tb=q('complaintTable'); if(!tb)return; rows=rows||[]; if(!rows.length){tb.innerHTML='<tr><td colspan=""7"" class=""text-center text-m"
renderMoreInfoChatP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,297,function,"function renderMoreInfoChatP7(reqs, no){"
renderMoreInfoTrackingP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,283,function,"function renderMoreInfoTrackingP7(reqs, no){"
renderP63Workspace,1,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,80,function,function renderP63Workspace(res){
renderP65Editor,1,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,69,function,"function renderP65Editor(u,isNew){"
renderPublicTrackingPage_,1,Code.gs,1975,function,function renderPublicTrackingPage_(complaintNo) {
renderReqTrack,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,57,function,function renderReqTrack(reqs){var html=''; for(var i=1;i<=3;i++){var r=(reqs||[]).filter(function(x){return Number(x.sequence||x.requestNo)===i})[0]; var cls=r?
renderStageActionsP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,262,function,"function renderStageActionsP7(actions, no){"
renderStageProgressP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,252,function,"function renderStageProgressP7(stages, current){"
renderStages,2,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,122,function,"function renderStages(stages,no){"
renderStages,2,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,54,function,"function renderStages(stages){set('stageProgress',(stages||[]).map(function(s){var cls=String(s.status||'pending').toLowerCase();var mark=cls==='done'?'✓':(cls="
renderSummaryP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,145,function,"function renderSummaryP7(id, summary){"
renderTimeline,2,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,244,function,function renderTimeline(logs){
renderTimeline,2,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,67,function,"function renderTimeline(logs){set('trackingLogList',(logs||[]).map(function(l){return '<div class=""log-row""><div><div class=""log-date"">'+esc((l.date||l.createdA"
renderWorkspace,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,50,function,"function renderWorkspace(res){var c=res.complaint||{}, no=res.complaintNo||c.complaintNo||''; window.CURRENT_COMPLAINT=c; window.CURRENT_COMPLAINT.complaintNo=n"
renderWorkspaceP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,204,function,function renderWorkspaceP7(data){
requestCmsCapaRevision,2,Code.gs,2368,function,"function requestCmsCapaRevision(complaintNo, reason) {"
requestCmsCapaRevision,2,Code_P6_2_FirestoreStageCapaActions.gs,297,function,"function requestCmsCapaRevision(complaintNo, reason) {"
requestCmsCapaRevisionP6,2,Code_P6_1_FirestoreFastIntegration.gs,223,function,"function requestCmsCapaRevisionP6(complaintNo, reason) {"
requestCmsCapaRevisionP6,2,Code_P6_2_FirestoreStageCapaActions.gs,301,function,"function requestCmsCapaRevisionP6(complaintNo, reason) {"
requestCmsCapaRevisionP6_3,1,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,223,function,function requestCmsCapaRevisionP6_3(payload) {
requestCmsCapaRevisionP6_4,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,165,function,function requestCmsCapaRevisionP6_4(payload) {
requestCmsCapaRevisionP7,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,405,function,function requestCmsCapaRevisionP7(payload) {
requirePermission_,1,Code.gs,164,function,"function requirePermission_(moduleName, requiredLevel) {"
resetCmsUserDefaultsP6_5,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,145,function,"function resetCmsUserDefaultsP6_5(email, role) {"
respondCmsInfoRequest,2,Code.gs,2195,function,"function respondCmsInfoRequest(requestId, responseText, attachmentDataUrl) {"
respondCmsInfoRequest,2,Code_P6_2_FirestoreStageCapaActions.gs,374,function,"function respondCmsInfoRequest(requestId, response, fileDataUrl) {"
respondCmsInfoRequestP6_3,1,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,179,function,function respondCmsInfoRequestP6_3(payload) {
respondCmsInfoRequestP6_4,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,140,function,function respondCmsInfoRequestP6_4(payload) {
respondCmsInfoRequestP7,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,247,function,function respondCmsInfoRequestP7(payload) {
reviewCmsInfoRequest,2,Code.gs,2209,function,"function reviewCmsInfoRequest(requestId, decision, comment) {"
reviewCmsInfoRequest,2,Code_P6_2_FirestoreStageCapaActions.gs,395,function,"function reviewCmsInfoRequest(requestId, decision, comment) {"
reviewCmsInfoRequestP6_3,1,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,184,function,function reviewCmsInfoRequestP6_3(payload) {
reviewCmsInfoRequestP6_4,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,148,function,function reviewCmsInfoRequestP6_4(payload) {
runCmsStageActionP6_3,1,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,120,function,"function runCmsStageActionP6_3(arg1, arg2, arg3) {"
runCmsStageActionP6_4,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,125,function,function runCmsStageActionP6_4(payload) {
run_,1,Code.gs,2680,function,"function run_(name, fn) {"
safe,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,18,function,"function safe(v){ return String(v == null ? '' : v).replace(/[&<>""']/g, function(c){ return ({'&':'&amp;','<':'&lt;','>':'&gt;','""':'&quot;',""'"":'&#39;'})[c]; }"
safeText_,1,Code.gs,306,function,"function safeText_(v, fallback) {"
sanitizeWhatsappText_,1,Code.gs,1534,function,"function sanitizeWhatsappText_(value, fallback) {"
saveCmsAccessUser,1,Code.gs,190,function,function saveCmsAccessUser(payload) {
saveCmsAccessUserP6_5,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,88,function,function saveCmsAccessUserP6_5(payload) {
saveCmsCapaReferenceP6,1,Code_P6_1_FirestoreFastIntegration.gs,182,function,"function saveCmsCapaReferenceP6(complaintNo, documentUrl, remark) {"
saveCmsHospitalMasterSelection,1,Code.gs,2886,function,function saveCmsHospitalMasterSelection(hospitalPayload) {
saveCmsHospitalToMaster,1,Code.gs,2891,function,function saveCmsHospitalToMaster(hospitalPayload) {
saveCmsInvestigation,1,Code.gs,2329,function,"function saveCmsInvestigation(complaintNo, payload, completeNow) {"
saveInfoAttachment_,1,Code.gs,2119,function,"function saveInfoAttachment_(dataUrl, complaintNo, prefix) {"
saveMediaToDrive,1,Code.gs,940,function,"function saveMediaToDrive(base64, type, complaintFolder) {"
saveP4Attachment_,1,Code.gs,2294,function,"function saveP4Attachment_(dataUrl, complaintNo, prefix) {"
searchCmsGoogleHospitals,1,Code.gs,2845,function,function searchCmsGoogleHospitals(query) {
searchCmsHospitalMaster,1,Code.gs,2811,function,function searchCmsHospitalMaster(query) {
sendComplaintWhatsappAlert_,1,Code.gs,1189,function,function sendComplaintWhatsappAlert_(payload) {
sendComplaintWhatsappToMultiple_,1,Code.gs,1272,function,"function sendComplaintWhatsappToMultiple_(formData, complaintNo, waLink, rowNumber, userName, submittedAt, issueWhatsappNumbers) {"
sendEmailToUser,1,Code.gs,1063,function,"function sendEmailToUser(formData, img, vid, pdf, complaintNo, issueRecipients) {"
sendWhatsAppForCheckedCMSRows,1,WA.gs,63,function,function sendWhatsAppForCheckedCMSRows() {
set,2,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,31,function,"function set(id,html){var el=qs(id); if(el) el.innerHTML=html;}"
set,2,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,15,function,"function set(id,html){var e=q(id); if(e)e.innerHTML=html}"
setCmsUserActiveP6_5,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,119,function,"function setCmsUserActiveP6_5(email, active) {"
setText,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,17,function,"function setText(id, text){ var el = byId(id); if(el) el.textContent = text == null ? '' : String(text); }"
setVal,1,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,15,function,"function setVal(id,v){var e=q(id); if(e)e.value=v==null?'':String(v)}"
set_,1,Code.gs,2784,function,"function set_(header, value) {"
setupCMSWhatsAppCheckboxes,1,WA.gs,166,function,function setupCMSWhatsAppCheckboxes() {
setupCmsAccessControl,1,Code.gs,86,function,function setupCmsAccessControl() {
setupCmsFastStageCapaP5_6,1,Code.gs,2901,function,function setupCmsFastStageCapaP5_6() {
setupCmsFormUxP5_5,1,Code.gs,2610,function,function setupCmsFormUxP5_5() {
setupCmsFormUxP5_5_1,1,Code.gs,2638,function,function setupCmsFormUxP5_5_1() {
setupCmsFyDashboardP5,2,Code.gs,2391,function,function setupCmsFyDashboardP5() {
setupCmsFyDashboardP5,2,Code.gs,2461,function,function setupCmsFyDashboardP5() {
setupCmsHospitalMasterP5_5_2,1,Code.gs,2660,function,function setupCmsHospitalMasterP5_5_2() {
setupCmsInfoRequestP3,1,Code.gs,2015,function,function setupCmsInfoRequestP3() {
setupCmsInvestigationCapaP4,1,Code.gs,2245,function,function setupCmsInvestigationCapaP4() {
setupCmsInvestigationCapaP5_3,1,Code.gs,2467,function,function setupCmsInvestigationCapaP5_3() {
setupCmsLifecycleP2,1,Code.gs,1793,function,function setupCmsLifecycleP2() {
setupCmsP6FirestoreHybrid,1,Code_P6_FirestoreBridge.gs.txt,32,function,function setupCmsP6FirestoreHybrid() {
setupCmsP6_1FastWorkspaceIntegration,1,Code_P6_1_FirestoreFastIntegration.gs,21,function,function setupCmsP6_1FastWorkspaceIntegration() {
setupCmsP6_2StageCapaActions,1,Code_P6_2_FirestoreStageCapaActions.gs,28,function,function setupCmsP6_2StageCapaActions() {
setupCmsP6_3WorkspaceChatAccess,1,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,35,function,function setupCmsP6_3WorkspaceChatAccess() {
setupCmsP6_4DashboardChatDataFix,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,17,function,function setupCmsP6_4DashboardChatDataFix() {
setupCmsP6_5UserAccessManagement,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,40,function,function setupCmsP6_5UserAccessManagement() {
setupCmsP7_0StabilizationRefactor,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,27,function,function setupCmsP7_0StabilizationRefactor() {
setupCmsPlacesSearchP5_5_2,1,Code.gs,2701,function,function setupCmsPlacesSearchP5_5_2() {
